Country,Gold,Silver,Bronze,Total
Cuba,6.744142011834313,5.542011834319524,7.939644970414207,20.225798816568044
Cyprus,0.0,0.22710059171597585,0.0,0.22710059171597585
Czech Republic,2.254556213017757,2.1907692307692272,2.837278106508869,7.282603550295846
Czechoslovakia,1.4420118343195267,1.0940828402366876,1.2202366863905336,3.7563313609467492
Czechoslovakia,0.07727810650887568,0.025562130177514852,0.06615384615384601,0.16899408284023565
Denmark,2.2320710059171596,2.145798816568048,3.52295857988166,7.900828402366862
Denmark,0.058934911242603555,0.032781065088757444,-0.0039053254437861895,0.087810650887576
Djibouti,0.0,0.0,0.07005917159763309,0.07005917159763309
Dominica,0.12224852071005898,0.0,0.0,0.12224852071005898
Dominican Republic,0.4194082840236675,0.5532544378698212,0.6523076923076907,1.6249704142011865
East Germany,8.753254437869813,7.379171597633132,7.239053254437863,23.371479289940794
Ecuador,0.4368047337278096,0.4599999999999991,0.24449704142011797,1.1413017751479266
Egypt,0.3115976331360947,0.7126627218934907,1.5050887573964467,2.5293491124260328
Egypt,0.0,0.029467455621301777,0.029467455621301777,0.058934911242603555
Eritrea,0.0,0.0,0.09325443786982257,0.09325443786982257
Estonia,0.283076923076923,0.18982248520710066,0.6285207100591714,1.1014201183431953
Ethiopia,2.028875739644974,1.5205917159763302,2.0926627218934897,5.642130177514787
Ethiopia,0.029467455621301777,0.0,0.0,0.029467455621301777
FR Yugoslavia,0.16911242603550303,0.16911242603550303,0.2507692307692304,0.5889940828402356
Fiji,0.22710059171597585,0.12224852071005898,0.11644970414201161,0.46579881656804645
Finland,0.37597633136095965,0.4360946745562302,1.4119526627219017,2.2240236686390347
Finland,-0.026153846153845528,-0.05952662721893276,-0.04508875739644935,-0.13076923076923208
Formosa,0.0,0.029467455621301777,0.0,0.029467455621301777
France,8.934201183431952,10.345798816568042,12.959408284023667,32.23940828402368
France,-0.1223668639053237,0.003313609467456402,0.043905325443788,-0.07514792899408107
Gabon,0.0,0.10485207100591687,0.0,0.10485207100591687
Georgia,1.4094674556213036,1.6539644970414216,1.8820118343195276,4.945443786982253
Germany,12.209704142011816,11.547692307692301,14.552544378698201,38.309940828402375
Germany,-0.05562130177514746,-0.13349112426035603,-0.07786982248520857,-0.26698224852071206
Ghana,0.0,0.0,0.27443786982248586,0.27443786982248586
Ghana,0.0,0.029467455621301777,0.0,0.029467455621301777
Great Britain,11.60828402366863,12.128875739644968,14.894911242603527,38.63207100591714
Great Britain,0.003313609467456402,0.09893491124260478,0.2979881656804739,0.4002366863905351
Greece,1.4082840236686387,0.8104142011834341,0.9906508875739668,3.2093491124260396
Greece,0.029467455621301777,0.0,0.0,0.029467455621301777
Grenada,0.10485207100591687,0.11065088757396424,0.3609467455621296,0.5764497041420107
Guatemala,0.12224852071005898,0.10485207100591687,0.12224852071005898,0.34934911242603484
Guyana,0.0,0.0,0.058461538461538454,0.058461538461538454
Haiti,0.0,-0.01692307692307682,-0.022721893491123968,-0.039644970414200564
Hong Kong,0.44260355029585696,0.32615384615384535,0.6986982248520697,1.4674556213017738
Hungary,8.647692307692296,7.597396449704135,8.019053254437864,24.26414201183431
Hungary,0.11005917159763356,0.1801183431952671,0.15065088757396605,0.44082840236686494
Iceland,0.0,0.12272189349112406,0.1517159763313609,0.27443786982248586
Independent Olympic Athletes,0.11065088757396424,0.0,0.11065088757396424,0.22130177514792848
Independent Olympic Participants,0.0,0.07585798816568046,0.1517159763313609,0.22757396449704137
India,0.3405917159763314,0.6537278106508868,2.0801183431952666,3.074437869822475
India,-0.011124260355029447,0.029467455621301777,0.0,0.01834319526627226
Indonesia,0.9847337278106494,1.3055621301775098,1.5732544378698208,3.8635502958579906
Iran,2.5410650887573993,2.3037869822485177,2.1128994082840222,6.957751479289925
Iran,0.0,0.029467455621301777,0.08840236686390535,0.11786982248520711
Iraq,0.0,0.0,0.029467455621301777,0.029467455621301777
Ireland,1.1543195266272193,0.7527810650887563,1.463550295857985,3.370650887573966
Ireland,-0.022248520710058894,0.0,0.0,-0.022248520710058894
Israel,0.44840236686390433,0.6871005917159749,1.0137278106508845,2.149230769230769
Italy,10.662485207100588,10.57668639053253,13.421775147928997,34.660946745562114
Italy,0.24958579881656817,0.16118343195266505,0.24958579881656817,0.6603550295858014
Ivory Coast,0.11065088757396424,0.06426035502958571,0.34934911242603484,0.5242603550295861
Jamaica,2.5352662721893395,3.2020118343195207,2.58792899408283,8.325207100591683
Japan,14.013017751479282,10.989230769230772,14.188875739644942,39.19112426035497
Japan,0.040000000000000924,0.1284023668639076,0.16177514792899395,0.3301775147929007
Jordan,0.11065088757396424,0.2386982248520706,0.11644970414201161,0.46579881656804645
Kazakhstan,1.456804733727811,2.4763313609467446,4.036568047337283,7.969704142011835
